Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations
2571994,13-Apr-23,New Mexico,Albuquerque,7311 Glenrio Rd NW,0,0,0,0,1,N/A
2571958,13-Apr-23,Oklahoma,Tulsa,6636 S Mingo Rd,0,0,0,0,0,N/A
2571022,13-Apr-23,Maryland,Odenton,1905 Town Center Blvd,0,0,0,0,1,N/A
2570681,12-Apr-23,Mississippi,Jackson,2607 Raymond Rd,0,0,0,0,0,N/A
2570535,12-Apr-23,Texas,Arlington,7700 S Watson Rd,0,0,0,0,1,N/A
2570313,12-Apr-23,North Carolina,Winston Salem (Winston-salem),5705 Shattalon Dr,0,0,0,0,1,N/A
2570980,12-Apr-23,Iowa,Waterloo,1350 Katoski Dr,0,0,0,0,1,N/A
2570413,11-Apr-23,Illinois,Antioch,1133 Main St,0,0,0,0,1,N/A
2570356,11-Apr-23,Maryland,Baltimore,6401 Pioneer Dr,0,0,0,0,1,N/A
2569573,11-Apr-23,Indiana,East Chicago,3916 Pulaski St,0,0,0,0,1,N/A
2569514,11-Apr-23,Florida,Tallahassee,3013 Jim Lee Rd,0,0,0,0,1,N/A
2571098,11-Apr-23,Pennsylvania,Pittsburgh,914 Penn Ave,0,0,0,0,1,N/A
2571093,11-Apr-23,Georgia,Tyrone,360 Jenkins Rd,0,0,0,0,1,N/A
2569905,11-Apr-23,Indiana,South Bend,1902 Fellows St,0,0,0,0,1,N/A
2572559,11-Apr-23,Washington,Vancouver,10119 NE 14th St,0,0,0,0,1,N/A
2568388,10-Apr-23,Kentucky,Louisville,727 W Chestnut St,1,1,0,0,0,N/A
2569627,10-Apr-23,Missouri,Springfield,415 S Golden Ave,0,0,0,0,1,N/A
2571085,10-Apr-23,Texas,Texarkana,2100 College Dr,0,0,0,0,0,N/A
2569350,10-Apr-23,Alaska,Anchorage,1405 E St,0,0,0,0,1,N/A
2568884,7-Apr-23,Nebraska,Hildreth,613 Nelson St,0,0,0,0,1,N/A
2569179,7-Apr-23,Arizona,Laveen,8225 S 59th Ave,0,0,0,0,1,N/A
2571080,7-Apr-23,North Carolina,Greenville,N/A,1,0,0,0,1,N/A
2565924,6-Apr-23,North Carolina,Elizabeth City,1059 Hwy 17 S,0,0,0,0,1,N/A
2565916,6-Apr-23,North Carolina,Winterville,570 Forlines Rd,1,0,0,0,1,N/A
2566273,6-Apr-23,Florida,West Palm Beach,3505 Shiloh Dr,0,0,0,0,1,N/A
2565867,6-Apr-23,Illinois,Chicago,E 31st St and S Wabash Ave,2,0,0,0,0,N/A
2565141,5-Apr-23,South Carolina,Summerville,1101 Boone Hill Rd,0,0,0,0,2,N/A
2565084,5-Apr-23,North Carolina,Durham,4800 Old Chapel Hill Rd,0,0,0,0,0,N/A
2566126,5-Apr-23,Maryland,Hagerstown,18201 Rockland Dr,0,0,0,0,0,N/A
2565154,4-Apr-23,Alabama,Mobile,6201 Swedetown Rd,0,0,0,0,0,N/A
2564272,4-Apr-23,South Carolina,Columbia,7500 Brookfield Rd,0,0,0,0,1,N/A
2565130,4-Apr-23,South Carolina,Summerville,9800 Delemar Hwy,0,0,0,0,1,N/A
2565028,4-Apr-23,Arkansas,Arkadelphia,401 High School Dr,0,0,0,0,0,N/A
2565024,4-Apr-23,Illinois,Highland Park,433 Vine Ave,0,0,0,0,1,N/A
2566008,4-Apr-23,Texas,Houston,8501 Howard Dr,0,0,0,0,1,N/A
2564276,4-Apr-23,South Carolina,Greenville,302 Perry Rd,0,0,0,0,0,N/A
2564631,4-Apr-23,Florida,Daytona Beach,1200 W International Speedway Blvd,1,0,0,0,0,N/A
2563490,3-Apr-23,Ohio,Chesterland,13401 Chillicothe Rd,0,0,0,0,1,N/A
2565375,3-Apr-23,Massachusetts,Lowell,125 Smith St,0,0,0,0,1,N/A
2562782,2-Apr-23,North Carolina,Chapel Hill,1500 block of Mason Farm Rd,1,0,0,0,1,N/A
2561676,31-Mar-23,Virginia,Manassas,8820 Rixlew Ln,0,0,0,0,1,N/A
2564249,31-Mar-23,North Carolina,Concord,505 State Hwy 49 S,0,0,0,0,0,N/A
2561477,31-Mar-23,Texas,Lumberton,N/A,0,0,0,0,0,N/A
2562192,31-Mar-23,South Carolina,Columbia,205 Wise Ferry Rd,0,0,0,0,0,N/A
2563207,31-Mar-23,Florida,Tallahassee,3838 Trojan Trail,0,0,0,0,1,N/A
2563964,31-Mar-23,North Carolina,Orrum,1684 S Creek Rd,0,0,0,0,0,N/A
2561014,30-Mar-23,Texas,Spring,4800 Riley Fuzzel Rd,0,0,0,0,1,N/A
2559834,30-Mar-23,North Carolina,Winston Salem (Winston-salem),2100 Silas Creek Pkwy,0,0,1,0,0,N/A
2561378,30-Mar-23,Florida,Tallahassee,2649 US-90,0,0,0,0,1,N/A
2563308,30-Mar-23,Georgia,Augusta (Martinez),115 Davis Rd,0,0,0,0,0,N/A
2562147,30-Mar-23,Florida,Daytona Beach,1031 Mason Ave,0,0,0,0,1,N/A
2559786,30-Mar-23,Indiana,Hammond,N/A,0,0,0,0,0,N/A
2561159,30-Mar-23,Arizona,Tucson,12000 W Emigh Rd,0,0,0,0,1,N/A
2561118,30-Mar-23,Louisiana,Shreveport,9000 Walker Rd,0,0,0,0,1,N/A
